index,score_scale,score_binary,full_text
136,0.5,"[[3, -1]]","Sobre o Datafolha: bora ganhar essa eleição! #ViraVoto #Haddad13

Vídeo: Ricardo Stuckert https://t.co/LG1kKMHuqg"
137,0.5,"[[3, -1]]","Grande noite no Largo da Batata, em São Paulo. Não tenho dúvidas de que vamos ganhar essa eleição. Vamos virar!

Fotos: Ricardo Stuckert https://t.co/7dvMra2GMX"
138,0.5,"[[3, -1]]","Cidade de São Paulo, meu amor! Ibope: Na cidade de SP, Haddad aparece com 51% dos votos, e Bolsonaro, 49% @UOL https://t.co/xT9pIzxD2h"
139,0.5,"[[3, -1]]",A verdade no final sempre prevalece. https://t.co/1qiPTSeoIH
140,0.5,"[[3, -1]]","É hora de ir pra rua, de diálogo permanente. Obrigado a todos que estão com a gente nessa dura e corajosa jornada em defesa da democracia. #Haddad13 https://t.co/mnZiz7nlZZ"
141,0.5,"[[4, -2]]","Essa turma do Bolsonaro não tem compromisso com a democracia. Estão há 30 anos querendo voltar ao poder para impor sua vontade. Para eles, o STF e o Congresso são obstáculos. Essa visão deturpada da democracia é própria de quem tem como herói o torturador Brilhante Ustra."
142,0.5,"[[3, -1]]","Eu tenho um anúncio pra fazer pra vocês: domingo nós vamos ganhar a eleição. Eu não tenho dúvidas do que estou falando. Desde ontem eu estou sentindo no ar uma virada. Nós começamos a crescer, ele começou a cair e vai começar a tremer."
143,0.5,"[[4, -2]]","O mundo se move por ondas, existe uma onda conservadora no mundo hoje. A crise do neoliberalismo acarretou uma onda conservadora e xenófoba. A crise de 2008 é a responsável por essa onda conservadora que afetou todo o ocidente. Mas do mesmo jeito que ela vem, ela vai."
144,0.5,"[[4, -2]]",Estamos alertando o Brasil. Meu adversário tem como principal herói o mais bárbaro torturador da ditadura militar. Ele não respeita a redemocratização. As qualificações dele não o habilitam pra governar o país em uma democracia. #HaddadNoRodaVida
145,0.5,"[[3, -1]]","Tanta gente lutou por liberdade, tanta gente morreu por liberdade nesse país. Nós vamos abrir mão disso? Nós não queremos ser apenas símbolos da resistência, queremos ser a vitória da resistência."
146,0.5,"[[3, -1]]",O voto de @MarinaSilva me honra por tudo que ela representa e pelas causas que defende. Nossa convivência como ministros foi extremamente produtiva e até hoje compartilhamos amizades de brasileiros devotados à causa pública. Esse reencontro democrático me enche de orgulho.
147,0.5,"[[3, -1]]","Se a gente ganhar 1 ponto por dia, basta apenas isso, a gente vira esse jogo e vamos juntos subir a rampa do Planalto."
148,0.5,"[[4, -2]]","Estou muito feliz de estar aqui no Ceará. O Nordeste não é carga, não. É locomotiva e nós vamos puxar o desenvolvimento do país."
149,0.5,"[[3, -1]]",Tenho muito orgulho de ser professor porque é de professores que esse país está precisando.
150,0.5,"[[3, -1]]","A elite brasileira está com o Bolsonaro. Inclusive o Estadão está com ele. Ele tem a força econômica, entreguista. Estamos lutando contra forças muito poderosas e praticamente sozinhos. Mas representamos os mais de 30 milhões de pessoas que votaram no nosso projeto no 1o turno."
151,0.5,"[[3, -1]]","Na luta pelo Brasil! #HaddadSim #BolsonaroNão

Fotos: Ricardo Stuckert https://t.co/iJ19O1cA5y"
152,0.5,"[[3, -1]]","Fernando Haddad na caminhada, com o povo na rua, em Fortaleza. #voteHaddad #Haddadpresidente #democracia https://t.co/kSVBcPOkeO"
153,0.5,"[[3, -1]]","Fernando Haddad na caminhada, com o povo na rua, em Fortaleza. #voteHaddad #Haddadpresidente #democracia https://t.co/Ik1IT4Brjj"
